"File","Name","Hits","ExternalHits"
".\backend\src\dds\dds-observability.service.ts","dds-observability.service","18","15"
".\backend\src\dds\dds-observability-alerts.service.spec.ts","dds-observability-alerts.service.spec","4","1"
".\backend\src\dds\dds-observability-alerts.service.ts","dds-observability-alerts.service","16","13"
".\backend\src\dds\public-dds-validation.controller.spec.ts","public-dds-validation.controller.spec","4","1"
".\backend\src\dds\public-dds-validation.controller.ts","public-dds-validation.controller","14","11"
".\backend\src\dids\dids.controller.ts","dids.controller","10","7"
".\backend\src\dids\dids.module.ts","dids.module","10","7"
".\backend\src\dids\dids.service.spec.ts","dids.service.spec","25","22"
".\backend\src\dids\dids.service.ts","dids.service","38","35"
".\backend\src\disaster-recovery\disaster-recovery.constants.ts","disaster-recovery.constants","15","12"
".\backend\src\disaster-recovery\disaster-recovery.module.ts","disaster-recovery.module","10","7"
".\backend\src\disaster-recovery\disaster-recovery.types.ts","disaster-recovery.types","14","11"
".\backend\src\disaster-recovery\disaster-recovery.util.spec.ts","disaster-recovery.util.spec","4","1"
".\backend\src\disaster-recovery\disaster-recovery.util.ts","disaster-recovery.util","23","20"
".\backend\src\disaster-recovery\disaster-recovery.worker.module.ts","disaster-recovery.worker.module","9","6"
".\backend\src\disaster-recovery\disaster-recovery-execution.service.ts","disaster-recovery-execution.service","15","12"
".\backend\src\disaster-recovery\disaster-recovery-integrity.service.ts","disaster-recovery-integrity.service","11","8"
".\backend\src\disaster-recovery\disaster-recovery-replica-storage.service.ts","disaster-recovery-replica-storage.service","12","9"
".\backend\src\disaster-recovery\disaster-recovery-storage-protection.service.spec.ts","disaster-recovery-storage-protection.service.spec","4","1"
".\backend\src\disaster-recovery\disaster-recovery-storage-protection.service.ts","disaster-recovery-storage-protection.service","17","14"
".\backend\src\disaster-recovery\tenant-backup.admin.controller.spec.ts","tenant-backup.admin.controller.spec","6","2"
".\backend\src\disaster-recovery\tenant-backup.admin.controller.ts","tenant-backup.admin.controller","20","16"
".\backend\src\disaster-recovery\tenant-backup.processor.ts","tenant-backup.processor","10","6"
".\backend\src\disaster-recovery\tenant-backup.scheduler.service.ts","tenant-backup.scheduler.service","10","6"
".\backend\src\disaster-recovery\tenant-backup.service.ts","tenant-backup.service","20","16"
".\backend\src\disaster-recovery\tenant-backup.types.ts","tenant-backup.types","12","8"
".\backend\src\document-import\document-import.module.ts","document-import.module","11","8"
".\backend\src\document-import\document-import.processor.spec.ts","document-import.processor.spec","4","1"
".\backend\src\document-import\document-import.processor.ts","document-import.processor","14","11"
".\backend\src\document-import\document-import.worker.module.ts","document-import.worker.module","9","6"
".\backend\src\document-import\document-import-runtime-config.ts","document-import-runtime-config","10","7"
".\backend\src\document-import\file-parser.module.ts","file-parser.module","10","7"
".\backend\src\document-registry\document-download.controller.spec.ts","document-download.controller.spec","4","1"
".\backend\src\document-registry\document-download.controller.ts","document-download.controller","14","11"
".\backend\src\document-registry\document-governance.integration.spec.ts","document-governance.integration.spec","36","33"
".\backend\src\document-registry\document-governance.service.spec.ts","document-governance.service.spec","15","12"
".\backend\src\document-registry\document-governance.service.ts","document-governance.service","62","59"
".\backend\src\document-registry\document-registry.controller.spec.ts","document-registry.controller.spec","8","5"
".\backend\src\document-registry\document-registry.controller.ts","document-registry.controller","28","25"
".\backend\src\document-registry\document-registry.module.ts","document-registry.module","25","22"
".\backend\src\document-registry\document-registry.service.spec.ts","document-registry.service.spec","4","1"
".\backend\src\document-registry\document-registry.service.ts","document-registry.service","37","34"
".\backend\src\document-registry\public-document-registry.controller.spec.ts","public-document-registry.controller.spec","4","1"
".\backend\src\document-registry\public-document-registry.controller.ts","public-document-registry.controller","14","11"
".\backend\src\document-videos\document-video.constants.ts","document-video.constants","9","6"
".\backend\src\document-videos\document-videos.module.ts","document-videos.module","10","7"
".\backend\src\document-videos\document-videos.service.ts","document-videos.service","14","11"
".\backend\src\dossiers\dossiers.controller.spec.ts","dossiers.controller.spec","8","5"
".\backend\src\dossiers\dossiers.controller.ts","dossiers.controller","29","26"
".\backend\src\dossiers\dossiers.module.ts","dossiers.module","8","5"
".\backend\src\dossiers\dossiers.service.spec.ts","dossiers.service.spec","4","1"
".\backend\src\dossiers\dossiers.service.ts","dossiers.service","19","16"
".\backend\src\dossiers\public-dossiers.controller.spec.ts","public-dossiers.controller.spec","4","1"
".\backend\src\dossiers\public-dossiers.controller.ts","public-dossiers.controller","14","11"
".\backend\src\epi-assignments\epi-assignments.controller.spec.ts","epi-assignments.controller.spec","4","1"
".\backend\src\epi-assignments\epi-assignments.controller.ts","epi-assignments.controller","15","12"
".\backend\src\epi-assignments\epi-assignments.module.ts","epi-assignments.module","9","6"
".\backend\src\epi-assignments\epi-assignments.service.spec.ts","epi-assignments.service.spec","75","72"
".\backend\src\epi-assignments\epi-assignments.service.ts","epi-assignments.service","87","84"
".\backend\src\epis\epis.controller.ts","epis.controller","10","7"
".\backend\src\epis\epis.module.ts","epis.module","12","9"
".\backend\src\epis\epis.service.cache.spec.ts","epis.service.cache.spec","4","1"
".\backend\src\epis\epis.service.ts","epis.service","22","19"
".\backend\src\expenses\expenses.controller.ts","expenses.controller","8","5"
".\backend\src\expenses\expenses.module.ts","expenses.module","8","5"
".\backend\src\expenses\expenses.service.spec.ts","expenses.service.spec","4","1"
